lap_distance_m,speed_kph,throttle,brake
2810.0,202.64299319727905,0.0,1.0
2815.0,195.16000000000005,0.0,1.0
2820.0,185.75670717725293,0.0,1.0
2825.0,167.41229075900068,0.0,1.0
2830.0,157.0,0.0,1.0
2835.0,156.40093023255753,0.0,1.0
2840.0,140.12186046511636,0.0,1.0
2845.0,127.26156941649907,0.0,1.0
2850.0,120.95932692307659,0.0,1.0
2855.0,111.82471153846129,0.0,1.0
2860.0,103.07813272673312,0.0,1.0
2865.0,96.64949065374323,0.0,1.0
2870.0,90.32666666666643,0.0,0.932666666666642
2875.0,84.77111111111087,0.0,0.3771111111110865
2880.0,79.61032593019887,0.0,0.0
2885.0,77.08829509149,0.12763868719140006,0.0
2890.0,74.38569309378607,0.1786780946101868,0.0
2895.0,77.68221526289766,0.25284984341519745,0.0
2900.0,79.88250000000006,0.2976500000000012,0.0
2905.0,83.45420857596618,0.36908417151932366,0.0
2910.0,88.0304512657453,0.4476213770331405,0.0
2915.0,92.33679717943946,0.5153887548710314,0.0
2920.0,96.9758767860458,0.5896140285767327,0.0
2925.0,99.68574514038883,0.6437149028077768,0.0
2930.0,106.59492468448913,0.709953860768083,0.0
2935.0,113.37527663610493,0.7910275055327215,0.0
2940.0,119.17146169248598,0.8911434292338487,0.0
2945.0,126.76399932329541,0.9659854508543385,0.0
2950.0,134.8877245508981,1.0,0.0
2955.0,140.61157097569568,1.0,0.0
2960.0,146.42261647194593,1.0,0.0
2965.0,153.63450165873377,1.0,0.0
2970.0,160.1507103150094,1.0,0.0
2975.0,166.32736256948743,1.0,0.0
2980.0,171.04835790018106,1.0,0.0
2985.0,173.63434186708048,1.0,0.0
2990.0,176.15858809332266,1.0,0.0
2995.0,178.67266693483515,1.0,0.0
3000.0,182.12996212121223,1.0,0.0
3005.0,185.72844696969707,1.0,0.0
3010.0,189.3269318181819,1.0,0.0
3015.0,192.92541666666673,1.0,0.0
3020.0,196.52390151515158,1.0,0.0
3025.0,199.51042657496163,1.0,0.0
3030.0,202.07133972342143,1.0,0.0
3035.0,204.63225287188124,1.0,0.0
3040.0,207.91954545454556,1.0,0.0
3045.0,211.32863636363646,1.0,0.0
3050.0,214.73772727272737,1.0,0.0
3055.0,218.14681818181828,1.0,0.0
3060.0,220.46051392439125,1.0,0.0
3065.0,221.4695277815149,1.0,0.0
3070.0,222.47854163863855,1.0,0.0
3075.0,224.08885422083557,1.0,0.0
3080.0,226.34227769110768,1.0,0.0
3085.0,228.59570116137982,1.0,0.0
3090.0,230.84912463165193,1.0,0.0
3095.0,233.10254810192407,1.0,0.0
3100.0,235.35597157219618,1.0,0.0
3105.0,236.0,1.0,0.0
3110.0,236.0,1.0,0.0
3115.0,236.92462311557784,1.0,0.0
3120.0,238.42466061651535,1.0,0.0
3125.0,239.92469811745286,1.0,0.0
3130.0,242.1806410138672,1.0,0.0
3135.0,244.4765359537148,1.0,0.0
3140.0,245.70322463108036,1.0,0.0
3145.0,246.61413736564037,1.0,0.0
3150.0,247.17431803060546,1.0,0.0
3155.0,247.4767434827315,1.0,0.0
3160.0,247.77916893485758,1.0,0.0
3165.0,248.41659681475278,1.0,0.0
3170.0,249.96069175453303,1.0,0.0
3175.0,251.5047866943133,1.0,0.0
3180.0,253.0488816340936,1.0,0.0
3185.0,254.59297657387384,1.0,0.0
3190.0,255.8494636059522,1.0,0.0
3195.0,257.00299919252507,1.0,0.0
